::1 - - [13/Mar/2025:17:38:11 +0000] "POST /orders HTTP/1.1" 200 409
::1 - - [13/Mar/2025:18:02:40 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:02:40 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:02:40 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:02:40 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:02:40 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:02:40 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:02:40 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:02:40 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:02:41 +0000] "GET /uploads/1741835676984-image.jpeg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:02:41 +0000] "GET /uploads/1741835831258-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:02:41 +0000] "GET /uploads/1741835795717-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:02:41 +0000] "GET /uploads/1741835941431-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:02:41 +0000] "GET /uploads/1741835986829-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:02:41 +0000] "GET /uploads/1741835951197-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:02:41 +0000] "GET /uploads/1741835994121-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:02:41 +0000] "GET /uploads/1741836010177-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:02:41 +0000] "GET /uploads/1741836221895-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:11:24 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:11:24 +0000] "OPTIONS /books/39 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:11:24 +0000] "OPTIONS /books/40 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:11:24 +0000] "OPTIONS /books/42 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:11:24 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:11:24 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:11:24 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:11:25 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:11:25 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:11:25 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:11:25 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:11:36 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:11:36 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:11:36 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:11:36 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:12:09 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:12:09 +0000] "OPTIONS /books/39 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:12:09 +0000] "OPTIONS /books/40 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:12:09 +0000] "OPTIONS /books/42 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:12:09 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:12:09 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:12:09 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:12:10 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:12:10 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:12:10 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:12:10 +0000] "GET /books/42 HTTP/1.1" 304 -
